Distance (mm),T (C),P (atm),Ar,He,Ne,N2,CH4(1),CO2(2),H2O(3),H2(4),CO(5),C2H6(6),site(7),HX(8),CO2X(9),OX(10),OCX(11),HOX(12),H2OX(13),CX(14),CHX(15),CH2X(16),CH3X(17),CH4X(18),HOCXO(19),CXHO(20),HCOOX(21),CXOH(22),HCXOH(23),H2CXOH(24),C2H6X(25),C2H5X(26),CHCH3X(27),CXCH3(28),CXCH2(29),CXHCH2(30),CH3CXO(31)
76.0,319.85,1.1843079200592155,0.2000003879399795,0.0,0.0,0.0,9.69850156148987e-07,0.1595207610414945,0.0004805191606696636,0.6395187825465126,0.0004785794611874358,4.2109415067282175e-20,0.0013127059347818669,0.832761256865216,3.9994720125252216e-08,2.878558085026496e-05,0.16589712149728328,8.3739237673087e-12,3.79267919479813e-08,3.0243604220592526e-14,3.44581478897605e-10,7.164353322403189e-15,1.4662815511505447e-16,1.860154869188774e-08,4.583247879588731e-12,2.502243546368161e-08,9.607657183689155e-14,7.822793200673759e-09,2.7999942874130334e-14,3.988474051152662e-10,2.6645121491763107e-22,5.292373235583681e-29,9.839842798620115e-29,5.213692023978577e-22,5.214244559488028e-25,1.9356588263982413e-30,1.9086851873891973e-30
76.5,319.85,1.184307920059216,0.20000039552592105,0.0,0.0,0.0,9.88815015780137e-07,0.159516129977764,0.00048517525801306373,0.6395141127944517,0.0004831976288342529,4.4131717137501374e-20,0.0013106150031867907,0.8314318602072458,3.9929856093931713e-08,2.8466970592812862e-05,0.16722892685203372,8.350313712927166e-12,3.823326836752881e-08,3.058408739418253e-14,3.47361076133702e-10,7.222120061987033e-15,1.4922840778644126e-16,1.8935059673561334e-08,4.5758155321135804e-12,2.5223562130066707e-08,9.59204141822029e-14,7.885680588173252e-09,2.822493390566527e-14,4.020336592577421e-10,2.7880164524260084e-22,5.537340261864866e-29,1.0111854422770613e-28,5.357832450567443e-22,5.35841921249315e-25,1.9891730494346066e-30,1.960262628689526e-30
77.0,319.85,1.1843079200592157,0.20000040316033577,0.0,0.0,0.0,1.007901051638594e-06,0.1595115193419321,0.0004898110874126077,0.6395094632231093,0.0004877952861584479,4.6223489960967535e-20,0.0013085731909488658,0.8301336466369198,3.9866497311339775e-08,2.8156310254864723e-05,0.1685294920489823,8.327026370634668e-12,3.8538426281190806e-08,3.0922940292827203e-14,3.501284722596757e-10,7.279632835874901e-15,1.5184309997550084e-16,1.9270451722304455e-08,4.5685568143053615e-12,2.5423803967171197e-08,9.57678750977375e-14,7.948291166186613e-09,2.8448933035381015e-14,4.052058499107669e-10,2.9156036598567573e-22,5.790393716303619e-29,1.038628486984206e-28,5.503255082442884e-22,5.503877147163797e-25,2.0431633097646846e-30,2.012265017876194e-30
77.5,319.85,1.1843079200592155,0.20000041084304926,0.0,0.0,0.0,1.0271078305381328e-06,0.15950692875087,0.0004944270314243941,0.6395048334502321,0.0004923728165936603,4.838625463995948e-20,0.0013065785142238086,0.8288653569554492,3.9804583091108175e-08,2.7853297708506263e-05,0.1698000785729215,8.304053916384741e-12,3.884228529796488e-08,3.126020067445686e-14,3.528838480839822e-10,7.336895406081165e-15,1.5447217313388765e-16,1.96077170457183e-08,4.561464677794665e-12,2.5623174021384237e-08,9.561880872231416e-14,8.010629024077382e-09,2.867195491077187e-14,4.083641828336455e-10,3.0473592678629457e-22,6.051702864688125e-29,1.0663130689156379e-28,5.649958090849319e-22,5.650616543116526e-25,2.0976289284366828e-30,2.064691688204625e-30
78.0,319.85,1.184307920059215,0.2000004185738793,0.0,0.0,0.0,1.0464349202589563e-06,0.15950235783451439,0.0004990234595337434,0.6395002231065702,0.0004969305905823305,5.0621553737108303e-20,0.001304629095506547,0.8276257994520015,3.974405599827114e-08,2.7557645821957057e-05,0.17104188029935122,8.281388681014513e-12,3.914486446145161e-08,3.159590482089111e-14,3.556273792623104e-10,7.393911427388026e-15,1.5711556847203242e-16,1.9946847825863636e-08,4.554532454061751e-12,2.582168496845557e-08,9.547307700860882e-14,8.072698134509034e-09,2.8894013761260095e-14,4.115088579615698e-10,3.183369947189556e-22,6.321439298937867e-29,1.0942388559288027e-28,5.797939715418529e-22,5.798635648381897e-25,2.15256925188861e-30,2.1175419794307026e-30
78.5,319.85,1.1843079200592155,0.20000042635264423,0.0,0.0,0.0,1.0658818897239096e-06,0.1594978062352945,0.0005036007287349913,0.6394956318353643,0.0005014689660722839,5.293091318614727e-20,0.0013027231572157792,0.8264138458394915,3.9684861653087476e-08,2.7269081589659033e-05,0.1722560275659703,8.259023164670792e-12,3.9446182288917644e-08,3.193008759103586e-14,3.583592365899853e-10,7.450684453493298e-15,1.5977322708792092e-16,2.02878362357856e-08,4.547753831403567e-12,2.601934913512766e-08,9.533054925254095e-14,8.134502360284531e-09,2.9115123422945345e-14,4.1464006975752155e-10,3.323721134457416e-22,6.599772170970381e-29,1.1224055207275352e-28,5.947198221558738e-22,5.947932736739212e-25,2.207983636128343e-30,2.170815231847598e-30
79.0,319.85,1.1843079200592155,0.20000043417923008,0.0,0.0,0.0,1.0854483091525619e-06,0.15949327360762858,0.0005081591840891028,0.6394910592923364,0.0005059882884067203,5.531589999713988e-20,0.001300859015860478,0.8252284275571199,3.962694855266376e-08,2.698734535013735e-05,0.17344359087675487,8.236950050024327e-12,3.974625681227577e-08,3.226278243181086e-14,3.6107958589712005e-10,7.507217934880473e-15,1.6244509009911988e-16,2.0630674456857464e-08,4.541122833973147e-12,2.621617849183655e-08,9.519110166514229e-14,8.196045452131909e-09,2.9335297330875286e-14,4.177580071023493e-10,3.4685006899131505e-22,6.886875430546888e-29,1.1508127450607295e-28,6.097731922283572e-22,6.098506129503398e-25,2.2638714548380023e-30,2.2245107809699006e-30
79.5,319.85,1.1843079200592155,0.20000044205340478,0.0,0.0,0.0,1.1051337502574415e-06,0.15948875961725065,0.0005126991592478592,0.6394865051436457,0.0005104888927008433,5.777809558439259e-20,0.001299035075560603,0.8240685316350508,3.957026787289702e-08,2.6712189899842705e-05,0.17460558504464807,8.21516220020894e-12,4.004510558366442e-08,3.259402157584211e-14,3.637885894385833e-10,7.563515247511612e-15,1.6513109866277487e-16,2.097535467926419e-08,4.534633798465653e-12,2.641218475184412e-08,9.505461689389771e-14,8.257331079760894e-09,2.9554548629387365e-14,4.208628548515973e-10,3.617797199694443e-22,7.182924466487152e-29,1.1794602160619286e-28,6.249539159159601e-22,6.2503541766413e-25,2.3202320923003172e-30,2.2786279601157607e-30
80.0,319.85,1.1843079200592155,0.20000044997511646,0.0,0.0,0.0,1.1249377863532437e-06,0.15948426394093704,0.0005172209769671374,0.6394819690678163,0.0005149711013766686,6.031909766665961e-20,0.0012972498238055332,0.8229331980454218,3.951477333872681e-08,2.6443379952026365e-05,0.17574297184533058,8.19365267717352e-12,4.034274573616241e-08,3.2923835877738554e-14,3.664864042962926e-10,7.619579660002843e-15,1.6783119416216926e-16,2.1321869129003904e-08,4.52828135901831e-12,2.6607379258201592e-08,9.492098371588094e-14,8.318362796574344e-09,2.977289004735948e-14,4.239547920727569e-10,3.77170009653961e-22,7.488096344689767e-29,1.2083476223697082e-28,6.40261828141363e-22,6.4034752355511025e-25,2.3770649356421086e-30,2.3331660887248016e-30
80.5,319.85,1.184307920059215,0.20000045794399895,0.0,0.0,0.0,1.1448599925874647e-06,0.15947978626564271,0.0005217249495736866,0.6394774507512212,0.0005194352295708586,6.294051672229923e-20,0.0012955018245016292,0.8218215152183869,3.9460421011692955e-08,2.6180691163276426e-05,0.1768566645091074,8.172414720491508e-12,4.0639193946118745e-08,3.325225523998406e-14,3.6917318560387013e-10,7.675414400017042e-15,1.7054531808645632e-16,2.1670210046934872e-08,4.522060422076746e-12,2.6801773212591867e-08,9.479009651894864e-14,8.379144111269497e-09,2.999033415190798e-14,4.270339956234991e-10,3.93029944031282e-22,7.802569374612729e-29,1.2374746591927693e-28,6.556967673335349e-22,6.557867699013994e-25,2.4343693850077442e-30,2.3881244868419783e-30
81.0,319.85,1.1843079200592155,0.20000046595990892,0.0,0.0,0.0,1.164899946018949e-06,0.1594753262884641,0.0005262113794335552,0.6394729498920104,0.0005238815802370415,6.564403138865894e-20,0.0012937897152585848,0.8207326184118723,3.940716920685876e-08,2.592390982039135e-05,0.17794752935417346,8.15144177298624e-12,4.093446651589922e-08,3.3579308265998444e-14,3.718490834215123e-10,7.731022590136217e-15,1.732734122823108e-16,2.2020369727173216e-08,4.515966156975989e-12,2.6995377454847976e-08,9.466185511269578e-14,8.439678418943854e-09,3.020689310515148e-14,4.301006367178505e-10,4.09368933455435e-22,8.12652986990594e-29,1.266841025087817e-28,6.71258573614494e-22,6.713529976344237e-25,2.4921448468272942e-30,2.4435024570533818e-30
